split,class_name,leaf_id,image_id,path
train,Peach___healthy,rutg._hl 3733,54.0,C:\Datasets\PlantVillage-official\raw\color\Peach___healthy\06262e1f-9d2a-467e-be65-b2be372f84b1___Rutg._HL 3548.JPG
train,Tomato___Leaf_Mold,crnl_l.mold 6709,42.0,C:\Datasets\PlantVillage-official\raw\color\Tomato___Leaf_Mold\0425e1f8-950e-4f8f-a8cc-66809d61ef54___Crnl_L.Mold 6783.JPG
train,Tomato___Leaf_Mold,crnl_l.mold 6708,42.0,C:\Datasets\PlantVillage-official\raw\color\Tomato___Leaf_Mold\0425e1f8-950e-4f8f-a8cc-66809d61ef54___Crnl_L.Mold 6783.JPG
val,Tomato___Late_blight,rs_late.b 4898,13.0,C:\Datasets\PlantVillage-official\raw\color\Tomato___Late_blight\00ce4c63-9913-4b16-898c-29f99acf0dc3___RS_Late.B 4982.JPG
test,Tomato___Late_blight,rs_late.b 4895,12.0,C:\Datasets\PlantVillage-official\raw\color\Tomato___Late_blight\00355ec2-f12c-4015-b8f9-94354f69ce22___RS_Late.B 5311.JPG
train,Tomato___Late_blight,rs_late.b 4894,12.0,C:\Datasets\PlantVillage-official\raw\color\Tomato___Late_blight\00355ec2-f12c-4015-b8f9-94354f69ce22___RS_Late.B 5311.JPG
test,Tomato___Late_blight,rs_late.b 4897,13.0,C:\Datasets\PlantVillage-official\raw\color\Tomato___Late_blight\00ce4c63-9913-4b16-898c-29f99acf0dc3___RS_Late.B 4982.JPG
val,Tomato___Late_blight,rs_late.b 4893,12.0,C:\Datasets\PlantVillage-official\raw\color\Tomato___Late_blight\00355ec2-f12c-4015-b8f9-94354f69ce22___RS_Late.B 5311.JPG
test,Tomato___Late_blight,rs_late.b 4892,12.0,C:\Datasets\PlantVillage-official\raw\color\Tomato___Late_blight\00355ec2-f12c-4015-b8f9-94354f69ce22___RS_Late.B 5311.JPG
test,Apple___Cedar_apple_rust,frec_c.rust 9853,60.0,C:\Datasets\PlantVillage-official\raw\color\Apple___Cedar_apple_rust\17b9f64c-4660-424f-9c8e-d9a49654e512___FREC_C.Rust 3776.JPG
